"","ssp","drought_stress","insect_risk","disease_risk","photosynhthesis_day","risk_rain","yday_speargrowth","yday_harvest_star","accumulated_chill","frost_risk","diurnal_risk","rainharvest_risk","heatharvest_risk","Tsoil_mean","id"
"ssp126--ACCESS-CM2--2075--2042","ssp126",0.18,0.52,0,107,0.7,56,62,82.77,0,0.2,0,0.1,19.116356465672,142
"ssp126--ACCESS-CM2--2075--2043","ssp126",0.26,0.49,0,104,0.1,56,90,86.36,0,0.2,0.2,0.45,19.0993495455,143
"ssp126--ACCESS-CM2--2075--2044","ssp126",0.36,0.35,0,109,0.1,74,80,93.03,0.2,0.1,0.1,0.15,18.7324289687716,144
"ssp126--ACCESS-CM2--2075--2045","ssp126",0.24,0.28,0,113,0.2,60,77,82.79,0,0.2,0,0.05,18.6033656138243,145
"ssp126--ACCESS-CM2--2075--2046","ssp126",0.24,0.51,0,110,0,54,64,78.4,0,0.1,0.1,0.35,18.7824373592674,146
"ssp126--ACCESS-CM2--2075--2047","ssp126",0.19,0.4,0,102,0.4,62,105,89.95,0,0.2,0,0.35,19.9025074391717,147
"ssp126--ACCESS-CM2--2075--2048","ssp126",0.32,0.54,0,89,0.2,53,63,81.27,0,0.1,0,0.4,18.333112879352,148
"ssp126--ACCESS-CM2--2075--2049","ssp126",0.37,0.24,0.2,97,0.1,62,68,89.12,0,0.4,0.2,0.2,19.0528504399144,149
"ssp126--ACCESS-CM2--2075--2050","ssp126",0.44,0.2,0,97,0.1,47,89,70.26,0.1,0.1,0.4,0.1,18.2461332575738,150
"ssp126--ACCESS-CM2--2075--2051","ssp126",0.27,0.26,0,96,0,42,54,67.76,0.1,0.5,0.2,0.35,18.0509240283324,151
"ssp126--ACCESS-CM2--2075--2052","ssp126",0.4,0.43,0,104,0,47,53,75.03,0,0.1,0.2,0,18.4510428195908,152
"ssp126--ACCESS-CM2--2075--2053","ssp126",0.21,0.19,0,111,0,56,62,80.11,0,0,0.2,0.2,18.4038200621293,153
"ssp126--ACCESS-CM2--2075--2054","ssp126",0.49,0.39,0,102,0.3,55,61,83.22,0,0,0.1,0.6,18.6990142844531,154
"ssp126--ACCESS-CM2--2075--2055","ssp126",0.38,0.23,0,101,0,60,66,80.02,0,0.3,0,0.25,18.2963955811316,155
"ssp126--ACCESS-CM2--2075--2056","ssp126",0.31,0.33,0,112,0,42,76,71.98,0,0.4,0,0,19.0860001034617,156
"ssp126--ACCESS-CM2--2075--2057","ssp126",0.39,0.22,0,113,0,42,51,73.1,0.3,0.8,0.3,0.1,17.8538784501576,157
"ssp126--ACCESS-CM2--2075--2058","ssp126",0.29,0.21,0,92,0.1,44,81,73.32,0,0.5,0.2,0.05,19.5172808715637,158
"ssp126--ACCESS-CM2--2075--2059","ssp126",0.35,0.36,0,112,0.5,62,68,82.96,0,0.1,0,0.1,18.8741450555351,159
"ssp126--ACCESS-CM2--2075--2060","ssp126",0.2,0.28,0,100,0.1,65,77,81.52,0,0.5,0,0.25,18.9378402885715,160
"ssp126--ACCESS-CM2--2075--2061","ssp126",0.37,0.45,0,99,0,58,88,84.44,0.1,0,0,0.2,18.7091676750421,161
"ssp126--ACCESS-CM2--2075--2062","ssp126",0.26,0.39,0,81,0,42,48,74.15,0.2,0.2,0,0.1,17.4175311635075,162
"ssp126--ACCESS-CM2--2075--2063","ssp126",0.22,0.22,0,102,0,60,66,80.91,0,0.6,0.2,0.5,19.0611619413597,163
"ssp126--ACCESS-CM2--2075--2064","ssp126",0.42,0.58,0,99,0.1,42,48,73.31,0.1,0.2,0.4,0.1,18.035192768687,164
"ssp126--ACCESS-CM2--2075--2065","ssp126",0.17,0.24,0,82,0.3,49,55,82.1,0,0.5,0.2,0.15,18.4466086215878,165
"ssp126--ACCESS-CM2--2075--2066","ssp126",0.25,0.55,0,95,0.2,75,81,95.98,0,0.7,0.1,0.5,19.3805692659911,166
"ssp126--ACCESS-CM2--2075--2067","ssp126",0.68,0.49,0,102,0,46,65,69.62,0.1,0.1,0.1,0,19.0221291915942,167
"ssp126--ACCESS-CM2--2075--2068","ssp126",0.19,0.35,0,100,0.1,66,76,87.28,0.4,0.4,0.1,0,19.0601747487416,168
"ssp126--ACCESS-CM2--2075--2069","ssp126",0.56,0.82,0,103,0,68,74,89.69,0,0.2,0,0.7,18.9073098351811,169
"ssp126--ACCESS-CM2--2075--2070","ssp126",0.3,0.33,0,107,0.1,42,52,72.43,0.3,0.2,0.2,0.3,17.6935379842944,170
"ssp126--ACCESS-CM2--2075--2071","ssp126",0.39,0.48,0,100,0.3,49,55,75.83,0,0.1,0,0.05,18.1432344060214,171
"ssp126--ACCESS-CM2--2075--2072","ssp126",0.48,0.43,0,102,0.1,58,64,78.82,0,0.1,0.4,0.05,18.1390433249366,172
"ssp126--ACCESS-CM2--2075--2073","ssp126",0.24,0.24,0,105,0.2,76,82,86.55,0,0.5,0,0.25,19.5545490577437,173
"ssp126--ACCESS-CM2--2075--2074","ssp126",0.17,0.2,0,102,0.1,42,48,66.64,0.5,0.4,0.2,0,16.8387994481593,174
"ssp126--ACCESS-CM2--2075--2075","ssp126",0.13,0.21,0,85,0.1,51,57,77.86,0,0.3,0.1,0.2,18.4520569900197,175
"ssp126--ACCESS-CM2--2075--2076","ssp126",0.2,0.21,0,89,0.4,51,57,80.94,0.4,0.2,0.2,0.2,17.470133869517,176
"ssp126--ACCESS-CM2--2075--2077","ssp126",0.31,0.23,0,99,0,59,65,87.36,0,0.3,0.1,0.65,18.4684231479165,177
"ssp126--ACCESS-CM2--2075--2078","ssp126",0.24,0.24,0,109,0,68,74,89.58,0,0,0,0,18.8588809158641,178
"ssp126--ACCESS-CM2--2075--2079","ssp126",0.38,0.49,0,102,0.1,48,54,76.77,0,0.3,0,0.4,19.0350387887096,179
"ssp126--ACCESS-CM2--2075--2080","ssp126",0.11,0.32,0,102,0.3,83,89,94.17,0,0.8,0.1,0.3,19.399104906701,180
"ssp126--ACCESS-CM2--2075--2081","ssp126",0.25,0.36,0,107,0.1,44,71,72.75,0.2,0.4,0.1,0,18.0472911595142,181
"ssp126--ACCESS-CM2--2075--2082","ssp126",0.3,0.26,0,99,0.1,42,63,70.56,0.1,0.4,0.4,0.05,18.731709555953,182
"ssp126--ACCESS-CM2--2075--2083","ssp126",0.24,0.42,0,101,0,44,55,74.99,0.1,0.4,0.1,0,17.0166354846566,183
"ssp126--ACCESS-CM2--2075--2084","ssp126",0.46,0.5,0,97,0.2,89,95,105.15,0,0.2,0.2,0.2,19.4536277455424,184
"ssp126--ACCESS-CM2--2075--2085","ssp126",0.43,0.46,0,101,0.2,42,83,71.4,0.1,0.5,0.1,0.35,19.0189632746395,185
"ssp126--ACCESS-CM2--2075--2086","ssp126",0.27,0.36,0,95,0.1,45,80,74.62,0,0.4,0.1,0.2,19.7794020550898,186
"ssp126--ACCESS-CM2--2075--2087","ssp126",0.38,0.43,0,98,0.1,70,76,88.01,0,0.4,0,0.05,18.5803188851243,187
"ssp126--ACCESS-CM2--2075--2088","ssp126",0.65,0.24,0,101,0.1,51,82,79,0,0.3,0.1,0.2,19.4767693303921,188
"ssp126--ACCESS-CM2--2075--2089","ssp126",0.31,0.42,0,93,0.5,62,85,87.71,0,0.2,0.1,0,18.5643555368383,189
"ssp126--ACCESS-CM2--2075--2090","ssp126",0.36,0.8,0,113,0.1,81,87,97.72,0.1,0,0.3,0.05,19.2631749498447,190
"ssp126--ACCESS-CM2--2075--2091","ssp126",0.21,0.27,0,98,0,72,78,96.3,0,0.5,0,0.05,18.7785536196728,191
"ssp126--ACCESS-CM2--2075--2092","ssp126",0.23,0.43,0,109,0.4,43,59,68.69,0.1,0.1,0,0.15,18.383979593516,192
"ssp126--ACCESS-CM2--2075--2093","ssp126",0.07,0.21,0,98,0.2,58,73,76.22,0.4,0.3,0.2,0.4,17.1928436492531,193
"ssp126--ACCESS-CM2--2075--2094","ssp126",0.05,0.49,0,106,0.2,61,74,87.34,0,0,0.1,0.1,19.4632822226703,194
"ssp126--ACCESS-CM2--2075--2095","ssp126",0.14,0.71,0,115,0.1,49,55,73.95,0.8,0.8,0.1,0.15,16.8110316919399,195
"ssp126--ACCESS-CM2--2075--2096","ssp126",0.49,0.37,0,97,0.1,42,48,59.35,0,0.2,0.1,0.05,17.4377899232478,196
"ssp126--ACCESS-CM2--2075--2097","ssp126",0.3,0.28,0,93,0.1,54,62,76.25,0,0.1,0.3,0.1,18.0750768713592,197
"ssp126--ACCESS-CM2--2075--2098","ssp126",0.22,0.64,0,92,0,57,68,83.89,0.1,0.2,0.4,0.35,18.7995009212644,198
"ssp126--ACCESS-CM2--2075--2099","ssp126",0.43,0.51,0,94,0,42,77,74.8,0,0.2,0.1,0.2,19.3583812332597,199
